#=================================================================
# Page contains /express & Custom link (market-selector:opened or market-selector:dismissed)
# Report suite: Global Production
"# Date: Apr 1, 2026 - Apr 30, 2026"
"# Segments: Page URL (eVar28) contains /express AND Site/Subdomain (prop3) = www.adobe.com, Custom Link contains (market-selector:opened OR market-selector:dismissed)"
#=================================================================


##############################################
# Freeform table
##############################################
,Custom Link Instances
Page URL (eVar28),759
www.adobe.com/express/,391
www.adobe.com/fr/express/,72
www.adobe.com/kr/express/,29
www.adobe.com/de/express/,25
www.adobe.com/express/pricing,22
www.adobe.com/uk/express/,17
www.adobe.com/jp/express/,13
www.adobe.com/express/business/teams,13
www.adobe.com/in/express/,11
www.adobe.com/uk/express/learn/students,10
www.adobe.com/br/express/,9
www.adobe.com/se/express/,9
www.adobe.com/dk/express/,9
www.adobe.com/fr/express/pricing,8
www.adobe.com/de/express/learn/students,6
www.adobe.com/fr/express/business,6
www.adobe.com/in/express/pricing,6
www.adobe.com/es/express/pricing,5
www.adobe.com/tw/express/,5
www.adobe.com/in/express/business/teams,4
www.adobe.com/express/create/animation,4
www.adobe.com/express/feature/video/animation/audio,4
www.adobe.com/cn/express/,4
www.adobe.com/it/express/,4
www.adobe.com/jp/express/pricing,3
www.adobe.com/express/discover/wishes/birthday/friend,3
www.adobe.com/es/express/,3
www.adobe.com/br/express/create/card/ecard,3
www.adobe.com/uk/express/pricing,3
www.adobe.com/uk/express/discover/ideas/goodbye,2
www.adobe.com/express/discover/messages/text/good-night,2
stock.adobe.com/cl/images/quaking-aspen-tree-vector-silhouettes-black-color-image-made-by-adobe-illustrator-with-white-color-back-round-eps/1704212531,2
www.adobe.com/kr/express/business/teams,2
www.adobe.com/express/feature/video/convert,2
www.adobe.com/in/express/spotlight/education,2
www.adobe.com/express/feature/image/resize,2
www.adobe.com/de/education/express/,2
www.adobe.com/kr/express/learn/students,2
www.adobe.com/express/create/print/business-card,2
www.adobe.com/in/express/learn/students,2
www.adobe.com/express/feature/image/remove-background,2
www.adobe.com/kr/education/express/,2
www.adobe.com/fr/express/learn/blog,2
www.adobe.com/uk/express/business/teams,2
www.adobe.com/fr/express/business/teams,2
www.adobe.com/in/education/express/deployment,2
www.adobe.com/express/feature/image/change-background,2
www.adobe.com/kr/express/pricing,2
www.adobe.com/express/feature/video/change-speed,2
www.adobe.com/de/express/business/teams,2


#=================================================================
# GEO Routing Modal On Load for All Express Pages
# Report suite: Global Production
"# Date: Apr 1, 2026 - Apr 30, 2026"
# Segments: Page URL (eVar28) contains /express AND Custom Link contains |region-modal|locale: AND Site/Subdomain (prop3) contains www.adobe.com
#=================================================================


##############################################
# Freeform table
##############################################
,,,All Visits
Metrics,,,19390
Occurrences,,,19390
Occurrences,Week,,19390
Occurrences,2026-03-28,,0
Occurrences,2026-03-28,Custom Link,0
Occurrences,2026-04-04,,0
Occurrences,2026-04-04,Custom Link,0
Occurrences,2026-04-11,,1
Occurrences,2026-04-11,Custom Link,1
Occurrences,2026-04-11,Load:us-jp|region-modal|locale:jp|country:us,1
Occurrences,2026-04-18,,5
Occurrences,2026-04-25,,19384
Occurrences,2026-04-25,Custom Link,19385
